Hole SNR1 SNR2 SNR3 SNR4 HasAlignment
11207568 8.59594 2.54819 6.14065 1.62698 False
11207573 14.5535 9.64261 14.6426 8.04327 True
11207576 13.7646 9.10336 12.739 6.95779 True
11207577 5.45225 3.34417 4.79404 2.03925 False
11207578 13.7978 8.77849 12.2486 6.29011 True
11272368 11.76 8.29078 11.2922 6.37533 True
11272370 14.9767 9.73216 12.0204 6.46154 True
11272371 12.5539 7.63433 10.8078 5.33892 True
11272372 14.1885 9.25892 14.4536 7.4955 True
11272374 12.6438 8.19493 12.0795 6.01817 False
11272378 10.07 6.27604 9.11182 4.68857 True
11272381 12.273 7.8698 11.2247 6.0301 True
11272382 6.11512 3.97419 3.68602 2.27534 False
11272383 13.513 8.78742 11.5166 6.20016 True
11272385 13.8638 9.09705 12.1061 6.47007 True
11272386 13.1324 8.67246 11.2503 6.12029 True
11272387 12.5441 8.17428 12.2764 6.50707 True
11272388 14.2398 9.10529 14.3162 7.32243 True
11272390 11.7993 7.86521 5.30515 2.85477 False
11272391 13.3362 8.76198 11.1123 5.87004 True
11272393 10.7099 7.78075 13.4123 7.25712 True
11272394 13.1666 8.57669 10.6281 5.68578 True
11272395 13.2473 8.68019 10.6794 5.67668 True
11272396 13.3419 8.67305 14.0689 7.53511 True
11272397 11.6955 8.70676 10.1996 5.54206 True
11272398 12.6971 8.3461 11.5911 6.15968 False
11272399 11.5056 7.95748 11.3666 5.45441 True
11272608 11.5451 8.17618 11.7707 5.57651 True
11272610 13.2651 8.21967 12.0257 6.60116 True
11272612 6.7656 4.20295 5.87283 2.65871 False
11272614 16.6113 10.2715 13.9206 7.13615 True
11272618 6.19798 3.49081 6.11968 2.57451 True
11272619 12.9138 8.1528 11.6901 6.00071 True
11272623 14.4464 9.6071 11.417 6.11487 True
11272625 8.26852 5.31186 6.21961 3.18214 True
11272626 15.0457 9.41829 11.4601 7.11289 False
11272627 13.4651 8.81962 12.5074 6.58222 True
11272629 9.97822 4.73943 7.68439 3.62947 False
11272630 13.2204 8.05681 12.2974 6.3767 True
11272632 13.1357 8.25338 10.3953 5.55016 True
11272633 14.2817 9.45381 13.168 7.15064 True
11272635 9.69443 6.32045 9.0703 4.28608 True
11272637 15.534 10.0363 12.9011 6.80922 True
11272639 13.9274 8.27182 11.4646 5.51752 False
11272849 13.809 9.45024 12.7996 7.51306 True
11272851 13.9877 9.30589 12.1258 6.62552 True
11272852 12.9067 6.1412 10.8523 5.32606 True
11272855 12.4842 5.94233 9.21743 3.4545 False
11272856 14.1183 9.26783 13.4177 7.1035 True
11272859 13.5676 8.82537 12.4134 6.5904 True
11272860 13.5523 8.9277 10.9958 6.14459 True
11272865 16.8706 10.986 16.5007 8.53111 True
11272868 13.5944 8.69566 12.5446 6.50997 True
11272871 13.0361 8.28601 13.07 7.07352 True
